product_url,description
https://www2.hm.com/en_in/productpage.1236518001.html,"Short dress in woven fabric with a deep V-neckline and sewn-in wrapover front. Long balloon sleeves in a raglan cut with narrow elastication at the cuffs. Covered elastication at the waist, a belt with an asymmetric buckle and a flared skirt. Unlined."
https://www2.hm.com/en_in/productpage.1214312002.html,"Frayed-edge jeans in rigid cotton denim that feels firm at first but then softens and loosens with wear. Wide leg with a loose fit from the waist to the hip and a baggy fit from the thigh to the hem. Regular waist with a drawstring and a zip fly and concealed button. Front and back pockets. Longer length, designed to fall over the foot with a stacking effect. Featuring a wide silhouette that's always flattering."
https://www2.hm.com/en_in/productpage.1089020004.html,"Fitted nursing top in soft jersey with a V-neck and wrapover front for easier nursing access. Gently dropped shoulders, long sleeves and a wide tie belt at the waist. The top can be worn both during pregnancy and when nursing afterwards. Unlined."
https://www2.hm.com/en_in/productpage.1204752009.html,5-pocket shorts in cotton denim that has a slight stretch for added ease of movement. Extra-high waist with a zip fly and button. Sewn-in turn-ups at the hems.
https://www2.hm.com/en_in/productpage.1172324001.html,"Lined, non-wired bikini top with adjustable shoulder straps and cups with removable inserts that shape the bust and provide good support. Metal fastener at the back."
https://www2.hm.com/en_in/productpage.1198701002.html,"Super push-up bra in lace with adjustable shoulder straps and underwired, thickly padded cups to maximise the bust and create a fuller cleavage. Hook-and-eye fastening at the back."
https://www2.hm.com/en_in/productpage.1218389001.html,"5-pocket jeans in cotton denim with legs that taper to the hem. Regular waist with a zip fly and button. Regular length, designed to hit the top of the foot with little or no stacking."
https://www2.hm.com/en_in/productpage.1154503004.html,"Loose-fit shorts in lightweight sweatshirt fabric with an embroidered motif on one leg. High waist with covered elastication and a drawstring, diagonal side pockets and raw-edge hems."
https://www2.hm.com/en_in/productpage.1111528003.html,"Sports jacket in soft, warming teddy. Regular fit with a stand-up collar, zip down the front, zipped chest pocket and discreet pockets in the side seams. Extra-long raglan sleeves with sections in woven fabric and thumbholes at the cuffs. Rounded hem with narrow elastication. Longer at the back."
https://www2.hm.com/en_in/productpage.1202933003.html,"Fitted, off-the-shoulder top in ribbed jersey with overlocked edges. Wide foldover with concealed silicone tape at the top and long sleeves."
